n_features,threshold,backup_fpr,fn_count,bf_queries,system_fpr,system_fnr,model_total_latency_ns,model_avg_latency_ns,model_throughput_qps,bf_avg_latency_ns,bf_total_latency_ns,bf_throughput_qps,vec_total_latency_ns,vec_avg_latency_ns,vec_throughput_qps,total_system_latency_ns,total_system_avg_latency_ns,total_system_throughput_qps,bf_bits_mb,total_memory_mb
1024,0.200000,0.010000,3611,69609,0.365540,0.000000,79630400.000000,444.639008,2249015.451385,103.350142,7194100.000000,9675845.484494,13154735300.000000,73453.209559,13614.108982,13241559800.000000,73938.018873,13524.841688,0.004128,0.011940
1024,0.200000,0.050000,3611,69609,0.385463,0.000000,79630400.000000,444.639008,2249015.451385,105.497852,7343600.000000,9478865.951305,13154735300.000000,73453.209559,13614.108982,13241709300.000000,73938.853649,13524.688992,0.002686,0.010498
1024,0.200000,0.100000,3611,69609,0.411080,0.000000,79630400.000000,444.639008,2249015.451385,108.227384,7533600.000000,9239805.670596,13154735300.000000,73453.209559,13614.108982,13241899300.000000,73939.914568,13524.494934,0.002068,0.009880
1024,0.200000,0.200000,3611,69609,0.467176,0.000000,79630400.000000,444.639008,2249015.451385,106.670114,7425200.000000,9374696.977859,13154735300.000000,73453.209559,13614.108982,13241790900.000000,73939.309286,13524.605648,0.001450,0.009262
1024,0.200000,0.001000,3611,69609,0.362292,0.000000,79630400.000000,444.639008,2249015.451385,103.180623,7182300.000000,9691742.199574,13154735300.000000,73453.209559,13614.108982,13241548000.000000,73937.952985,13524.853741,0.006195,0.014008
1024,0.300000,0.010000,5966,82590,0.263565,0.000000,79630400.000000,444.639008,2249015.451385,103.384187,8538500.000000,9672659.132166,13154735300.000000,73453.209559,13614.108982,13242904200.000000,73945.525713,13523.468666,0.006821,0.014633
1024,0.300000,0.050000,5966,82590,0.286485,0.000000,79630400.000000,444.639008,2249015.451385,105.590265,8720700.000000,9470570.023049,13154735300.000000,73453.209559,13614.108982,13243086400.000000,73946.543079,13523.282609,0.004440,0.012253
1024,0.300000,0.100000,5966,82590,0.315891,0.000000,79630400.000000,444.639008,2249015.451385,103.470154,8545600.000000,9664622.729826,13154735300.000000,73453.209559,13614.108982,13242911300.000000,73945.565358,13523.461416,0.003410,0.011223
1024,0.300000,0.200000,5966,82590,0.380359,0.000000,79630400.000000,444.639008,2249015.451385,101.365783,8371800.000000,9865261.950835,13154735300.000000,73453.209559,13614.108982,13242737500.000000,73944.594896,13523.638900,0.002388,0.010201
1024,0.300000,0.001000,5966,82590,0.259631,0.000000,79630400.000000,444.639008,2249015.451385,114.292287,9439400.000000,8749496.790050,13154735300.000000,73453.209559,13614.108982,13243805100.000000,73950.556145,13522.548742,0.010231,0.018044
1024,0.400000,0.010000,8618,92467,0.194061,0.000000,79630400.000000,444.639008,2249015.451385,106.188154,9818900.000000,9417246.331055,13154735300.000000,73453.209559,13614.108982,13244184600.000000,73952.675191,13522.161266,0.009850,0.017662
1024,0.400000,0.050000,8618,92467,0.217677,0.000000,79630400.000000,444.639008,2249015.451385,103.636973,9583000.000000,9649066.054471,13154735300.000000,73453.209559,13614.108982,13243948700.000000,73951.357976,13522.402122,0.006409,0.014221
1024,0.400000,0.100000,8618,92467,0.252380,0.000000,79630400.000000,444.639008,2249015.451385,107.419944,9932800.000000,9309258.215206,13154735300.000000,73453.209559,13614.108982,13244298500.000000,73953.311184,13522.044977,0.004929,0.012741
1024,0.400000,0.200000,8618,92467,0.324997,0.000000,79630400.000000,444.639008,2249015.451385,104.732499,9684300.000000,9548134.609626,13154735300.000000,73453.209559,13614.108982,13244050000.000000,73951.923614,13522.298693,0.003448,0.011261
1024,0.400000,0.001000,8618,92467,0.189885,0.000000,79630400.000000,444.639008,2249015.451385,105.697168,9773500.000000,9460991.456489,13154735300.000000,73453.209559,13614.108982,13244139200.000000,73952.421687,13522.207619,0.014778,0.022591
1024,0.500000,0.010000,11632,100839,0.142430,0.000000,79630400.000000,444.639008,2249015.451385,107.220421,10812000.000000,9326581.576027,13154735300.000000,73453.209559,13614.108982,13245177700.000000,73958.220448,13521.147398,0.013298,0.021111
1024,0.500000,0.050000,11632,100839,0.167844,0.000000,79630400.000000,444.639008,2249015.451385,104.560735,10543800.000000,9563819.495817,13154735300.000000,73453.209559,13614.108982,13244909500.000000,73956.722877,13521.421192,0.008652,0.016464
1024,0.500000,0.100000,11632,100839,0.203921,0.000000,79630400.000000,444.639008,2249015.451385,105.349121,10623300.000000,9492248.171472,13154735300.000000,73453.209559,13614.108982,13244989000.000000,73957.166788,13521.340033,0.006653,0.014465
1024,0.500000,0.200000,11632,100839,0.278819,0.000000,79630400.000000,444.639008,2249015.451385,98.964686,9979500.000000,10104614.459642,13154735300.000000,73453.209559,13614.108982,13244345200.000000,73953.571947,13521.997297,0.004646,0.012459
1024,0.500000,0.001000,11632,100839,0.138042,0.000000,79630400.000000,444.639008,2249015.451385,108.549272,10946000.000000,9212406.358487,13154735300.000000,73453.209559,13614.108982,13245311700.000000,73958.968675,13521.010608,0.019943,0.027756
1024,0.600000,0.010000,15320,108704,0.102613,0.000000,79630400.000000,444.639008,2249015.451385,106.241721,11548900.000000,9412498.159998,13154735300.000000,73453.209559,13614.108982,13245914600.000000,73962.335139,13520.395187,0.017509,0.025322
1024,0.600000,0.050000,15320,108704,0.127814,0.000000,79630400.000000,444.639008,2249015.451385,106.828636,11612700.000000,9360786.035978,13154735300.000000,73453.209559,13614.108982,13245978400.000000,73962.691384,13520.330065,0.011391,0.019203
1024,0.600000,0.100000,15320,108704,0.167699,0.000000,79630400.000000,444.639008,2249015.451385,105.143325,11429500.000000,9510827.245286,13154735300.000000,73453.209559,13614.108982,13245795200.000000,73961.668435,13520.517062,0.008759,0.016571
1024,0.600000,0.200000,15320,108704,0.249016,0.000000,79630400.000000,444.639008,2249015.451385,100.196865,10891800.000000,9980352.191557,13154735300.000000,73453.209559,13614.108982,13245257500.000000,73958.666034,13521.065936,0.006119,0.013931
1024,0.600000,0.001000,15320,108704,0.097664,0.000000,79630400.000000,444.639008,2249015.451385,109.698815,11924700.000000,9115868.743029,13154735300.000000,73453.209559,13614.108982,13246290400.000000,73964.433525,13520.011610,0.026260,0.034073
1024,0.700000,0.010000,20099,116955,0.069224,0.000000,79630400.000000,444.639008,2249015.451385,107.827797,12611000.000000,9274046.467370,13154735300.000000,73453.209559,13614.108982,13246976700.000000,73968.265676,13519.311165,0.022972,0.030785
1024,0.700000,0.050000,20099,116955,0.095866,0.000000,79630400.000000,444.639008,2249015.451385,110.953786,12976600.000000,9012761.432116,13154735300.000000,73453.209559,13614.108982,13247342300.000000,73970.307108,13518.938059,0.014946,0.022758
1024,0.700000,0.100000,20099,116955,0.135847,0.000000,79630400.000000,444.639008,2249015.451385,106.306699,12433100.000000,9406744.898698,13154735300.000000,73453.209559,13614.108982,13246798800.000000,73967.272321,13519.492725,0.011490,0.019302
1024,0.700000,0.200000,20099,116955,0.218537,0.000000,79630400.000000,444.639008,2249015.451385,99.644308,11653900.000000,10035696.204704,13154735300.000000,73453.209559,13614.108982,13246019600.000000,73962.921436,13520.288012,0.008034,0.015846
1024,0.700000,0.001000,20099,116955,0.064158,0.000000,79630400.000000,444.639008,2249015.451385,111.922534,13089900.000000,8934751.220407,13154735300.000000,73453.209559,13614.108982,13247455600.000000,73970.939751,13518.822437,0.034454,0.042267
1024,0.800000,0.010000,26654,126285,0.042331,0.000000,79630400.000000,444.639008,2249015.451385,110.977551,14014800.000000,9010831.406799,13154735300.000000,73453.209559,13614.108982,13248380500.000000,73976.104193,13517.878657,0.030457,0.038269
