n_features,threshold,backup_fpr,fn_count,bf_queries,system_fpr,system_fnr,model_total_latency_ns,model_avg_latency_ns,model_throughput_qps,bf_avg_latency_ns,bf_total_latency_ns,bf_throughput_qps,total_system_latency_ns,total_system_avg_latency_ns,total_system_throughput_qps,bf_bits_mb,total_memory_mb
1024,0.500000,0.010000,40336,53340,0.149514,0.000000,9068695800.000000,25194.320878,39691.484634,321.953506,17173000.000000,3106038.548885,9085868800.000000,25242.030282,39616.464636,0.046089,0.053902
1024,0.500000,0.050000,40336,53340,0.186860,0.000000,9068695800.000000,25194.320878,39691.484634,314.355081,16767700.000000,3181116.074357,9085463500.000000,25240.904292,39618.231915,0.029984,0.037796
1024,0.500000,0.100000,40336,53340,0.231410,0.000000,9068695800.000000,25194.320878,39691.484634,303.605174,16194300.000000,3293751.505159,9084890100.000000,25239.311293,39620.732451,0.023048,0.030861
1024,0.500000,0.200000,40336,53340,0.315222,0.000000,9068695800.000000,25194.320878,39691.484634,296.061117,15791900.000000,3377680.963025,9084487700.000000,25238.193360,39622.487463,0.016113,0.023926
1024,0.500000,0.001000,40336,53340,0.141120,0.000000,9068695800.000000,25194.320878,39691.484634,345.455568,18426600.000000,2894728.273257,9087122400.000000,25245.512988,39610.999407,0.069138,0.076950
1024,0.600000,0.010000,55043,68556,0.116399,0.000000,9068695800.000000,25194.320878,39691.484634,323.019138,22144900.000000,3095791.807595,9090840700.000000,25255.843034,39594.797872,0.062897,0.070709
1024,0.600000,0.050000,55043,68556,0.152422,0.000000,9068695800.000000,25194.320878,39691.484634,306.526052,21014200.000000,3262365.448126,9089710000.000000,25252.701764,39599.723203,0.040916,0.048729
1024,0.600000,0.100000,55043,68556,0.201533,0.000000,9068695800.000000,25194.320878,39691.484634,338.068149,23176600.000000,2957983.483341,9091872400.000000,25258.709265,39590.304853,0.031448,0.039261
1024,0.600000,0.200000,55043,68556,0.292220,0.000000,9068695800.000000,25194.320878,39691.484634,300.796429,20621400.000000,3324507.550409,9089317200.000000,25251.610501,39601.434528,0.021988,0.029800
1024,0.600000,0.001000,55043,68556,0.107674,0.000000,9068695800.000000,25194.320878,39691.484634,367.288056,25179800.000000,2722658.639068,9093875600.000000,25264.274483,39581.583896,0.094345,0.102158
1024,0.700000,0.010000,75349,89333,0.085068,0.000000,9068695800.000000,25194.320878,39691.484634,324.181434,28960100.000000,3084692.387112,9097655900.000000,25274.776775,39565.136773,0.086098,0.093910
1024,0.700000,0.050000,75349,89333,0.122017,0.000000,9068695800.000000,25194.320878,39691.484634,300.497017,26844300.000000,3327820.058634,9095540100.000000,25268.898736,39574.340396,0.056007,0.063820
1024,0.700000,0.100000,75349,89333,0.169079,0.000000,9068695800.000000,25194.320878,39691.484634,296.115657,26452900.000000,3377058.847990,9095148700.000000,25267.811363,39576.043435,0.043053,0.050865
1024,0.700000,0.200000,75349,89333,0.264988,0.000000,9068695800.000000,25194.320878,39691.484634,358.851712,32057300.000000,2786666.375521,9100753100.000000,25283.381303,39551.671828,0.030090,0.037903
1024,0.700000,0.001000,75349,89333,0.076608,0.000000,9068695800.000000,25194.320878,39691.484634,356.328568,31831900.000000,2806398.612712,9100527700.000000,25282.755105,39552.651436,0.129150,0.136963
1024,0.800000,0.010000,106053,120458,0.057572,0.000000,9068695800.000000,25194.320878,39691.484634,327.991499,39509200.000000,3048859.506140,9108205000.000000,25304.083901,39519.312532,0.121185,0.128998
1024,0.800000,0.050000,106053,120458,0.095776,0.000000,9068695800.000000,25194.320878,39691.484634,295.697255,35619100.000000,3381837.272699,9104314900.000000,25293.276566,39536.198380,0.078835,0.086647
1024,0.800000,0.100000,106053,120458,0.144887,0.000000,9068695800.000000,25194.320878,39691.484634,279.740656,33697000.000000,3574739.591062,9102392800.000000,25287.936658,39544.547012,0.060593,0.068405
1024,0.800000,0.200000,106053,120458,0.241259,0.000000,9068695800.000000,25194.320878,39691.484634,262.635109,31636500.000000,3807564.047856,9100332300.000000,25282.212252,39553.500700,0.042351,0.050163
1024,0.800000,0.001000,106053,120458,0.048516,0.000000,9068695800.000000,25194.320878,39691.484634,329.080675,39640400.000000,3038768.529076,9108336200.000000,25304.448396,39518.743280,0.181770,0.189583
1024,0.900000,0.010000,161423,176230,0.031463,0.000000,9068695800.000000,25194.320878,39691.484634,304.334109,53632800.000000,3285862.382721,9122328600.000000,25343.321572,39458.126952,0.184448,0.192261
1024,0.900000,0.050000,161423,176230,0.068676,0.000000,9068695800.000000,25194.320878,39691.484634,282.894513,49854500.000000,3534886.519773,9118550300.000000,25332.824837,39474.476551,0.119987,0.127800
1024,0.900000,0.100000,161423,176230,0.119968,0.000000,9068695800.000000,25194.320878,39691.484634,279.341769,49228400.000000,3579844.155000,9117924200.000000,25331.085429,39477.187143,0.092224,0.100037
1024,0.900000,0.200000,161423,176230,0.221363,0.000000,9068695800.000000,25194.320878,39691.484634,262.940476,46338000.000000,3803142.129570,9115033800.000000,25323.055424,39489.705458,0.064468,0.072281
1024,0.900000,0.001000,161423,176230,0.021879,0.000000,9068695800.000000,25194.320878,39691.484634,332.815639,58652100.000000,3004666.499580,9127347900.000000,25357.266009,39436.428187,0.276672,0.284485
1024,0.950000,0.010000,215536,230526,0.018243,0.000000,9068695800.000000,25194.320878,39691.484634,307.443846,70873800.000000,3252626.499496,9139569600.000000,25391.219892,39383.692641,0.246284,0.254097
1024,0.950000,0.050000,215536,230526,0.061934,0.000000,9068695800.000000,25194.320878,39691.484634,289.592931,66758700.000000,3453122.963749,9135454500.000000,25379.787470,39401.433174,0.160210,0.168022
1024,0.950000,0.100000,215536,230526,0.108665,0.000000,9068695800.000000,25194.320878,39691.484634,276.114191,63651500.000000,3621689.983740,9132347300.000000,25371.155160,39414.839162,0.123146,0.130959
1024,0.950000,0.200000,215536,230526,0.206425,0.000000,9068695800.000000,25194.320878,39691.484634,267.875641,61752300.000000,3733075.529171,9130448100.000000,25365.878872,39423.037737,0.086075,0.093887
1024,0.950000,0.001000,215536,230526,0.009650,0.000000,9068695800.000000,25194.320878,39691.484634,336.065780,77471900.000000,2975607.930101,9146167700.000000,25409.550493,39355.281010,0.369423,0.377235
1024,0.990000,0.010000,305883,321000,0.010840,0.000000,9068695800.000000,25194.320878,39691.484634,313.923676,100769500.000000,3185487.672361,9169465300.000000,25474.275038,39255.287874,0.349518,0.357330
1024,0.990000,0.050000,305883,321000,0.049640,0.000000,9068695800.000000,25194.320878,39691.484634,291.337695,93519400.000000,3432442.894202,9162215200.000000,25454.133074,39286.350751,0.227364,0.235176
1024,0.990000,0.100000,305883,321000,0.105691,0.000000,9068695800.000000,25194.320878,39691.484634,282.325545,90626500.000000,3542010.339139,9159322300.000000,25446.096124,39298.759036,0.174759,0.182571
1024,0.990000,0.200000,305883,321000,0.212374,0.000000,9068695800.000000,25194.320878,39691.484634,267.868847,85985900.000000,3733170.205813,9154681700.000000,25433.203778,39318.679971,0.122154,0.129967
1024,0.990000,0.001000,305883,321000,0.001652,0.000000,9068695800.000000,25194.320878,39691.484634,341.580997,109647500.000000,2927563.327937,9178343300.000000,25498.939575,39217.317138,0.524269,0.532082
2048,0.500000,0.010000,28929,42445,0.114482,0.000000,9035646300.000000,25102.503959,39836.663372,275.134880,11678100.000000,3634580.967794,9047324400.000000,25134.947632,39785.243027,0.033058,0.048683
2048,0.500000,0.050000,28929,42445,0.153877,0.000000,9035646300.000000,25102.503959,39836.663372,263.946283,11203200.000000,3788649.671522,9046849500.000000,25133.628282,39787.331490,0.021507,0.037132
2048,0.500000,0.100000,28929,42445,0.199881,0.000000,9035646300.000000,25102.503959,39836.663372,260.075392,11038900.000000,3845038.907862,9046685200.000000,25133.171829,39788.054082,0.016533,0.032158
2048,0.500000,0.200000,28929,42445,0.292419,0.000000,9035646300.000000,25102.503959,39836.663372,243.079279,10317500.000000,4113884.177369,9045963800.000000,25131.167662,39791.227111,0.011559,0.027184
2048,0.500000,0.001000,28929,42445,0.107608,0.000000,9035646300.000000,25102.503959,39836.663372,297.613382,12632200.000000,3360063.963522,9048278500.000000,25137.598278,39781.047853,0.049583,0.065208
2048,0.600000,0.010000,39679,53577,0.090555,0.000000,9035646300.000000,25102.503959,39836.663372,274.412528,14702200.000000,3644148.494783,9050348500.000000,25143.349076,39771.949113,0.045341,0.060966
2048,0.600000,0.050000,39679,53577,0.129553,0.000000,9035646300.000000,25102.503959,39836.663372,260.380387,13950400.000000,3840535.038422,9049596700.000000,25141.260453,39775.253189,0.029495,0.045120
2048,0.600000,0.100000,39679,53577,0.175623,0.000000,9035646300.000000,25102.503959,39836.663372,259.103720,13882000.000000,3859458.291312,9049528300.000000,25141.070426,39775.553826,0.022675,0.038300
