n_features,threshold,backup_fpr,fn_count,bf_queries,system_fpr,system_fnr,model_total_latency_ns,model_avg_latency_ns,model_throughput_qps,bf_avg_latency_ns,bf_total_latency_ns,bf_throughput_qps,vec_total_latency_ns,vec_avg_latency_ns,vec_throughput_qps,total_system_latency_ns,total_system_avg_latency_ns,total_system_throughput_qps,bf_bits_mb,total_memory_mb
1024,0.500000,0.010000,38871,51923,0.145813,0.000000,77928600.000000,216.498403,4618971.725400,132.357529,6872400.000000,7555293.638321,9672320000.000000,26871.287679,37214.442864,9757121000.000000,27106.878733,36891.005041,0.044418,0.052231
1024,0.500000,0.050000,38871,51923,0.179853,0.000000,77928600.000000,216.498403,4618971.725400,114.717948,5956500.000000,8717031.813985,9672320000.000000,26871.287679,37214.442864,9756205100.000000,27104.334213,36894.468321,0.028900,0.036713
1024,0.500000,0.100000,38871,51923,0.225990,0.000000,77928600.000000,216.498403,4618971.725400,116.121950,6029400.000000,8611636.315388,9672320000.000000,26871.287679,37214.442864,9756278000.000000,27104.536741,36894.192642,0.022209,0.030022
1024,0.500000,0.200000,38871,51923,0.316875,0.000000,77928600.000000,216.498403,4618971.725400,95.855401,4977100.000000,10432380.301782,9672320000.000000,26871.287679,37214.442864,9755225700.000000,27101.613280,36898.172433,0.015526,0.023338
1024,0.500000,0.001000,38871,51923,0.137881,0.000000,77928600.000000,216.498403,4618971.725400,156.439343,8122800.000000,6392253.902595,9672320000.000000,26871.287679,37214.442864,9758371400.000000,27110.352549,36886.277971,0.066628,0.074440
1024,0.600000,0.010000,53621,67145,0.113953,0.000000,77928600.000000,216.498403,4618971.725400,128.344627,8617700.000000,7791522.099864,9672320000.000000,26871.287679,37214.442864,9758866300.000000,27111.727462,36884.407362,0.061272,0.069084
1024,0.600000,0.050000,53621,67145,0.154207,0.000000,77928600.000000,216.498403,4618971.725400,116.345223,7812000.000000,8595110.087046,9672320000.000000,26871.287679,37214.442864,9758060600.000000,27109.489096,36887.452820,0.039864,0.047676
1024,0.600000,0.100000,53621,67145,0.200212,0.000000,77928600.000000,216.498403,4618971.725400,104.584109,7022300.000000,9561682.069977,9672320000.000000,26871.287679,37214.442864,9757270900.000000,27107.295180,36890.438288,0.030640,0.038452
1024,0.600000,0.200000,53621,67145,0.292154,0.000000,77928600.000000,216.498403,4618971.725400,98.588130,6619700.000000,10143208.906748,9672320000.000000,26871.287679,37214.442864,9756868300.000000,27106.176691,36891.960507,0.021416,0.029228
1024,0.600000,0.001000,53621,67145,0.107476,0.000000,77928600.000000,216.498403,4618971.725400,159.437039,10705400.000000,6272068.301978,9672320000.000000,26871.287679,37214.442864,9760954000.000000,27117.527434,36876.518422,0.091904,0.099716
1024,0.700000,0.010000,73547,87536,0.084341,0.000000,77928600.000000,216.498403,4618971.725400,130.273259,11403600.000000,7676172.436774,9672320000.000000,26871.287679,37214.442864,9761652200.000000,27119.467148,36873.880838,0.084038,0.091850
1024,0.700000,0.050000,73547,87536,0.120563,0.000000,77928600.000000,216.498403,4618971.725400,113.643530,9947900.000000,8799445.109018,9672320000.000000,26871.287679,37214.442864,9760196500.000000,27115.422975,36879.380451,0.054672,0.062485
1024,0.700000,0.100000,73547,87536,0.170467,0.000000,77928600.000000,216.498403,4618971.725400,103.424877,9053400.000000,9668853.690326,9672320000.000000,26871.287679,37214.442864,9759302000.000000,27112.937908,36882.760673,0.042023,0.049835
1024,0.700000,0.200000,73547,87536,0.271796,0.000000,77928600.000000,216.498403,4618971.725400,93.345595,8171100.000000,10712878.315037,9672320000.000000,26871.287679,37214.442864,9758419700.000000,27110.486734,36886.095399,0.029373,0.037186
1024,0.700000,0.001000,73547,87536,0.076410,0.000000,77928600.000000,216.498403,4618971.725400,157.446079,13782200.000000,6351380.766496,9672320000.000000,26871.287679,37214.442864,9764030800.000000,27126.075288,36864.898050,0.126060,0.133873
1024,0.800000,0.010000,103049,117469,0.056580,0.000000,77928600.000000,216.498403,4618971.725400,131.450000,15441300.000000,7607455.330834,9672320000.000000,26871.287679,37214.442864,9765689900.000000,27130.684540,36858.635046,0.117752,0.125565
1024,0.800000,0.050000,103049,117469,0.095314,0.000000,77928600.000000,216.498403,4618971.725400,112.714844,13240500.000000,8871945.923492,9672320000.000000,26871.287679,37214.442864,9763489100.000000,27124.570357,36866.943396,0.076599,0.084412
1024,0.800000,0.100000,103049,117469,0.150043,0.000000,77928600.000000,216.498403,4618971.725400,103.732900,12185400.000000,9640143.122097,9672320000.000000,26871.287679,37214.442864,9762434000.000000,27121.639117,36870.927885,0.058876,0.066689
1024,0.800000,0.200000,103049,117469,0.245224,0.000000,77928600.000000,216.498403,4618971.725400,96.013416,11278600.000000,10415211.107762,9672320000.000000,26871.287679,37214.442864,9761527200.000000,27119.119878,36874.353021,0.041153,0.048965
1024,0.800000,0.001000,103049,117469,0.047921,0.000000,77928600.000000,216.498403,4618971.725400,160.366565,18838100.000000,6235713.792792,9672320000.000000,26871.287679,37214.442864,9769086700.000000,27140.121406,36845.818965,0.176620,0.184433
1024,0.900000,0.010000,155761,170565,0.031000,0.000000,77928600.000000,216.498403,4618971.725400,135.769941,23157600.000000,7365400.559643,9672320000.000000,26871.287679,37214.442864,9773406200.000000,27152.121684,36829.534416,0.177979,0.185791
