n_features,threshold,backup_fpr,fn_count,bf_queries,system_fpr,system_fnr,model_total_latency_ns,model_avg_latency_ns,model_throughput_qps,bf_avg_latency_ns,bf_total_latency_ns,bf_throughput_qps,total_system_latency_ns,total_system_avg_latency_ns,total_system_throughput_qps,bf_bits,total_memory_mb
1024,0.200000,0.010000,10020,94982,0.130565,0.165141,11964400.000000,94.850166,10542944.067400,105.120970,9984600.000000,9512849.788675,21949000.000000,174.005074,5746958.859174,0.011452,0.019264
1024,0.200000,0.050000,10020,94982,0.160288,0.158803,11964400.000000,94.850166,10542944.067400,105.868480,10055600.000000,9445682.008035,22020000.000000,174.567940,5728428.701181,0.007454,0.015266
1024,0.200000,0.100000,10020,94982,0.199604,0.150836,11964400.000000,94.850166,10542944.067400,106.464383,10112200.000000,9392812.642155,22076600.000000,175.016648,5713742.152324,0.005730,0.013542
1024,0.200000,0.200000,10020,94982,0.280091,0.137544,11964400.000000,94.850166,10542944.067400,104.088143,9886500.000000,9607242.198958,21850900.000000,173.227366,5772759.932085,0.004005,0.011818
1024,0.200000,0.001000,10020,94982,0.124570,0.166109,11964400.000000,94.850166,10542944.067400,104.394517,9915600.000000,9579047.158014,21880000.000000,173.458062,5765082.266910,0.017174,0.024986
1024,0.300000,0.010000,13879,101955,0.078302,0.222491,11964400.000000,94.850166,10542944.067400,107.180619,10927600.000000,9330045.023610,22892000.000000,181.480894,5510221.911585,0.015862,0.023674
1024,0.300000,0.050000,13879,101955,0.108267,0.215273,11964400.000000,94.850166,10542944.067400,106.215487,10829200.000000,9414822.886270,22793600.000000,180.700809,5534009.546539,0.010323,0.018135
1024,0.300000,0.100000,13879,101955,0.150077,0.206162,11964400.000000,94.850166,10542944.067400,106.800059,10888800.000000,9363290.720741,22853200.000000,181.173300,5519577.127054,0.007935,0.015747
1024,0.300000,0.200000,13879,101955,0.239499,0.182790,11964400.000000,94.850166,10542944.067400,105.248394,10730600.000000,9501332.637504,22695000.000000,179.919137,5558052.434457,0.005547,0.013359
1024,0.300000,0.001000,13879,101955,0.072471,0.224120,11964400.000000,94.850166,10542944.067400,106.032073,10810500.000000,9431108.644374,22774900.000000,180.552561,5538553.407479,0.023788,0.031601
1024,0.400000,0.010000,17172,106253,0.050425,0.272843,11964400.000000,94.850166,10542944.067400,107.608256,11433700.000000,9292967.280933,23398100.000000,185.493103,5391036.024293,0.019623,0.027435
1024,0.400000,0.050000,17172,106253,0.081986,0.263380,11964400.000000,94.850166,10542944.067400,108.945630,11575800.000000,9178890.443857,23540200.000000,186.619629,5358493.130899,0.012764,0.020576
1024,0.400000,0.100000,17172,106253,0.122713,0.251981,11964400.000000,94.850166,10542944.067400,122.671360,13034200.000000,8151862.024520,24998600.000000,198.181386,5045882.569424,0.009811,0.017624
1024,0.400000,0.200000,17172,106253,0.214601,0.226320,11964400.000000,94.850166,10542944.067400,114.623587,12179100.000000,8724207.864292,24143500.000000,191.402410,5224594.611386,0.006859,0.014671
1024,0.400000,0.001000,17172,106253,0.044324,0.274780,11964400.000000,94.850166,10542944.067400,120.900116,12846000.000000,8271290.674140,24810400.000000,196.689393,5084158.256215,0.029434,0.037247
1024,0.500000,0.010000,20216,109257,0.033456,0.318882,11964400.000000,94.850166,10542944.067400,111.329251,12163500.000000,8982365.273153,24127900.000000,191.278738,5227972.596040,0.023102,0.030914
1024,0.500000,0.050000,20216,109257,0.064891,0.310827,11964400.000000,94.850166,10542944.067400,108.377495,11841000.000000,9227007.854066,23805400.000000,188.722055,5298797.751771,0.015030,0.022842
1024,0.500000,0.100000,20216,109257,0.106198,0.295335,11964400.000000,94.850166,10542944.067400,105.760729,11555100.000000,9455305.449542,23519500.000000,186.455526,5363209.251897,0.011551,0.019363
1024,0.500000,0.200000,20216,109257,0.200590,0.265889,11964400.000000,94.850166,10542944.067400,105.200582,11493900.000000,9505650.823480,23458300.000000,185.970350,5377201.246467,0.008080,0.015892
1024,0.500000,0.001000,20216,109257,0.027674,0.321215,11964400.000000,94.850166,10542944.067400,107.569309,11752700.000000,9296331.906711,23717100.000000,188.022039,5318525.452100,0.034653,0.042465
1024,0.600000,0.010000,23387,111740,0.023216,0.371743,11964400.000000,94.850166,10542944.067400,108.262037,12097200.000000,9236848.196277,24061600.000000,190.753131,5242377.896732,0.026726,0.034538
1024,0.600000,0.050000,23387,111740,0.055647,0.359243,11964400.000000,94.850166,10542944.067400,110.933417,12395700.000000,9014416.289520,24360100.000000,193.119550,5178139.662809,0.017387,0.025200
1024,0.600000,0.100000,23387,111740,0.098878,0.343046,11964400.000000,94.850166,10542944.067400,107.464650,12008100.000000,9305385.531433,23972500.000000,190.046773,5261862.550840,0.013367,0.021179
1024,0.600000,0.200000,23387,111740,0.191945,0.307350,11964400.000000,94.850166,10542944.067400,105.402721,11777700.000000,9487421.143347,23742100.000000,188.220231,5312925.141415,0.009346,0.017159
1024,0.600000,0.001000,23387,111740,0.017376,0.373724,11964400.000000,94.850166,10542944.067400,107.884374,12055000.000000,9269182.911655,24019400.000000,190.418583,5251588.299458,0.040085,0.047897
1024,0.700000,0.010000,27052,114070,0.016477,0.430502,11964400.000000,94.850166,10542944.067400,110.589112,12614900.000000,9042481.509960,24579300.000000,194.857301,5131960.633541,0.030914,0.038727
1024,0.700000,0.050000,27052,114070,0.048192,0.416197,11964400.000000,94.850166,10542944.067400,109.911458,12537600.000000,9098232.516590,24502000.000000,194.244490,5148151.171333,0.020111,0.027924
1024,0.700000,0.100000,27052,114070,0.092323,0.397931,11964400.000000,94.850166,10542944.067400,108.321206,12356200.000000,9231802.657775,24320600.000000,192.806406,5186549.673939,0.015457,0.023270
1024,0.700000,0.200000,27052,114070,0.183775,0.354974,11964400.000000,94.850166,10542944.067400,103.828351,11843700.000000,9631280.765301,23808100.000000,188.743460,5298196.832171,0.010803,0.018616
1024,0.700000,0.001000,27052,114070,0.010395,0.432790,11964400.000000,94.850166,10542944.067400,109.121592,12447500.000000,9164089.174533,24411900.000000,193.530205,5167152.085663,0.046371,0.054184
1024,0.800000,0.010000,31574,116445,0.012009,0.499560,11964400.000000,94.850166,10542944.067400,108.251106,12605300.000000,9237780.933417,24569700.000000,194.781195,5133965.819688,0.036079,0.043892
1024,0.800000,0.050000,31574,116445,0.042864,0.483319,11964400.000000,94.850166,10542944.067400,111.182103,12946600.000000,8994253.317473,24911000.000000,197.486919,5063626.510377,0.023476,0.031288
1024,0.800000,0.100000,31574,116445,0.087614,0.461400,11964400.000000,94.850166,10542944.067400,116.726351,13592200.000000,8567045.805683,25556600.000000,202.605042,4935711.323102,0.018044,0.025856
1024,0.800000,0.200000,31574,116445,0.177896,0.415449,11964400.000000,94.850166,10542944.067400,105.804457,12320400.000000,9451397.681893,24284800.000000,192.522594,5194195.546185,0.012611,0.020424
1024,0.800000,0.001000,31574,116445,0.005792,0.502773,11964400.000000,94.850166,10542944.067400,115.396110,13437300.000000,8665803.398004,25401700.000000,201.377041,4965809.374963,0.054123,0.061935
1024,0.900000,0.010000,37794,119459,0.008567,0.596259,11964400.000000,94.850166,10542944.067400,108.620531,12975700.000000,9206362.662515,24940100.000000,197.717615,5057718.293030,0.043190,0.051003
1024,0.900000,0.050000,37794,119459,0.039190,0.577905,11964400.000000,94.850166,10542944.067400,108.967093,13017100.000000,9177082.453081,24981500.000000,198.045822,5049336.509017,0.028099,0.035912
1024,0.900000,0.100000,37794,119459,0.082305,0.552685,11964400.000000,94.850166,10542944.067400,113.037109,13503300.000000,8846652.299808,25467700.000000,201.900270,4952940.391162,0.021599,0.029411
1024,0.900000,0.200000,37794,119459,0.175575,0.497931,11964400.000000,94.850166,10542944.067400,108.631413,12977000.000000,9205440.394544,24941400.000000,197.727921,5057454.673755,0.015099,0.022911
1024,0.900000,0.001000,37794,119459,0.002137,0.599868,11964400.000000,94.850166,10542944.067400,111.979005,13376900.000000,8930245.423080,25341300.000000,200.898208,4977645.187895,0.064781,0.072594
4096,0.200000,0.010000,6216,97360,0.094846,0.115889,11829300.000000,93.779134,10663352.861116,104.215283,10146400.000000,9595521.564299,21975700.000000,174.216743,5739976.428510,0.007103,0.038353
4096,0.200000,0.050000,6216,97360,0.126107,0.112588,11829300.000000,93.779134,10663352.861116,105.445768,10266200.000000,9483547.953478,22095500.000000,175.166482,5708854.744179,0.004623,0.035873
4096,0.200000,0.100000,6216,97360,0.168478,0.107130,11829300.000000,93.779134,10663352.861116,106.721446,10390400.000000,9370187.865722,22219700.000000,176.151102,5676944.333182,0.003555,0.034805
4096,0.200000,0.200000,6216,97360,0.260801,0.094366,11829300.000000,93.779134,10663352.861116,103.175842,10045200.000000,9692191.295345,21874500.000000,173.414460,5766531.806441,0.002487,0.033737
4096,0.200000,0.001000,6216,97360,0.088116,0.117165,11829300.000000,93.779134,10663352.861116,103.264174,10053800.000000,9683900.614693,21883100.000000,173.482638,5764265.574804,0.010658,0.041908
4096,0.300000,0.010000,8920,102359,0.056643,0.157482,11829300.000000,93.779134,10663352.861116,104.008441,10646200.000000,9614604.271947,22475500.000000,178.179007,5612333.429735,0.010193,0.041443
4096,0.300000,0.050000,8920,102359,0.089228,0.151717,11829300.000000,93.779134,10663352.861116,105.118260,10759800.000000,9513095.038941,22589100.000000,179.079594,5584109.149988,0.006638,0.037888
4096,0.300000,0.100000,8920,102359,0.132740,0.144762,11829300.000000,93.779134,10663352.861116,104.158892,10661600.000000,9600716.590380,22490900.000000,178.301094,5608490.545065,0.005096,0.036346
4096,0.300000,0.200000,8920,102359,0.223129,0.130986,11829300.000000,93.779134,10663352.861116,102.963100,10539200.000000,9712217.246091,22368500.000000,177.330744,5639180.097011,0.003563,0.034813
4096,0.300000,0.001000,8920,102359,0.050754,0.158495,11829300.000000,93.779134,10663352.861116,103.992810,10644600.000000,9616049.452304,22473900.000000,178.166323,5612732.992494,0.015289,0.046539
4096,0.400000,0.010000,11457,105362,0.038290,0.194278,11829300.000000,93.779134,10663352.861116,104.000494,10957700.000000,9615338.985371,22787000.000000,180.648486,5535612.410585,0.013092,0.044342
4096,0.400000,0.050000,11457,105362,0.070953,0.186576,11829300.000000,93.779134,10663352.861116,104.296615,10988900.000000,9588038.839192,22818200.000000,180.895830,5528043.403949,0.008522,0.039772
4096,0.400000,0.100000,11457,105362,0.115365,0.178169,11829300.000000,93.779134,10663352.861116,105.254266,11089800.000000,9500802.539270,22919100.000000,181.695735,5503706.515526,0.006546,0.037796
4096,0.400000,0.200000,11457,105362,0.204999,0.158803,11829300.000000,93.779134,10663352.861116,101.217707,10664500.000000,9879694.312907,22493800.000000,178.324084,5607767.473704,0.004578,0.035828
4096,0.400000,0.001000,11457,105362,0.031773,0.195819,11829300.000000,93.779134,10663352.861116,104.510165,11011400.000000,9568447.245582,22840700.000000,181.074203,5522597.818806,0.019638,0.050888
4096,0.500000,0.010000,13996,107564,0.026755,0.232967,11829300.000000,93.779134,10663352.861116,114.930646,12362400.000000,8700899.501715,24191700.000000,191.784525,5214185.030403,0.015999,0.047249
4096,0.500000,0.050000,13996,107564,0.060743,0.224736,11829300.000000,93.779134,10663352.861116,110.340820,11868700.000000,9062829.121976,23698000.000000,187.870620,5322812.051650,0.010406,0.041656
4096,0.500000,0.100000,13996,107564,0.102659,0.213908,11829300.000000,93.779134,10663352.861116,103.670373,11151200.000000,9645957.385752,22980500.000000,182.182496,5489001.544788,0.008003,0.039253
4096,0.500000,0.200000,13996,107564,0.196625,0.191461,11829300.000000,93.779134,10663352.861116,101.648321,10933700.000000,9837840.804119,22763000.000000,180.458221,5541448.842420,0.005592,0.036842
4096,0.500000,0.001000,13996,107564,0.020354,0.234727,11829300.000000,93.779134,10663352.861116,103.518835,11134900.000000,9660077.773487,22964200.000000,182.053274,5492897.640675,0.023994,0.055244
4096,0.600000,0.010000,16817,109439,0.019126,0.273415,11829300.000000,93.779134,10663352.861116,107.449812,11759200.000000,9306670.521804,23588500.000000,187.002537,5347521.037794,0.019218,0.050468
4096,0.600000,0.050000,16817,109439,0.052369,0.264833,11829300.000000,93.779134,10663352.861116,106.153199,11617300.000000,9420347.240753,23446600.000000,185.877596,5379884.503510,0.012505,0.043755
4096,0.600000,0.100000,16817,109439,0.094759,0.251540,11829300.000000,93.779134,10663352.861116,106.960955,11705700.000000,9349205.942404,23535000.000000,186.578405,5359677.076694,0.009613,0.040863
4096,0.600000,0.200000,16817,109439,0.188871,0.225176,11829300.000000,93.779134,10663352.861116,102.142746,11178400.000000,9790220.425106,23007700.000000,182.398129,5482512.376291,0.006721,0.037971
4096,0.600000,0.001000,16817,109439,0.013015,0.275000,11829300.000000,93.779134,10663352.861116,104.967151,11487500.000000,9526789.989119,23316800.000000,184.848581,5409833.253277,0.028824,0.060074
4096,0.700000,0.010000,19940,111242,0.013962,0.318926,11829300.000000,93.779134,10663352.861116,107.626616,11972600.000000,9291381.988875,23801900.000000,188.694308,5299576.924531,0.022789,0.054039
4096,0.700000,0.050000,19940,111242,0.046480,0.309815,11829300.000000,93.779134,10663352.861116,105.213858,11704200.000000,9504451.393517,23533500.000000,186.566513,5360018.696751,0.014824,0.046074
4096,0.700000,0.100000,19940,111242,0.089712,0.295951,11829300.000000,93.779134,10663352.861116,107.763255,11987800.000000,9279600.927610,23817100.000000,188.814809,5296194.750830,0.011398,0.042648
4096,0.700000,0.200000,19940,111242,0.181976,0.265581,11829300.000000,93.779134,10663352.861116,102.200608,11369000.000000,9784677.632158,23198300.000000,183.909149,5437467.400628,0.007965,0.039215
4096,0.700000,0.001000,19940,111242,0.007832,0.321919,11829300.000000,93.779134,10663352.861116,104.839899,11662600.000000,9538353.368889,23491900.000000,186.236721,5369510.341863,0.034180,0.065430
4096,0.800000,0.010000,23852,113314,0.010897,0.382218,11829300.000000,93.779134,10663352.861116,146.674727,16620300.000000,6817807.139462,28449600.000000,225.539876,4433805.747708,0.027260,0.058510
4096,0.800000,0.050000,23852,113314,0.042506,0.370731,11829300.000000,93.779134,10663352.861116,105.528884,11957900.000000,9476078.575670,23787200.000000,188.577771,5302851.953992,0.017731,0.048981
