n_features,threshold,backup_fpr,fn_count,bf_queries,system_fpr,system_fnr,model_total_latency_ns,model_avg_latency_ns,model_throughput_qps,bf_avg_latency_ns,bf_total_latency_ns,bf_throughput_qps,total_system_latency_ns,total_system_avg_latency_ns,total_system_throughput_qps,bf_bits_mb,total_memory_mb
1024,0.500000,0.010000,41594,54591,0.148457,0.000000,157529600.000000,437.643006,2284967.396604,125.513363,6851900.000000,7967279.148849,164381500.000000,456.678705,2189723.296113,0.047531,0.055344
1024,0.500000,0.050000,41594,54591,0.182894,0.000000,157529600.000000,437.643006,2284967.396604,104.260776,5691700.000000,9591334.750602,163221300.000000,453.455480,2205288.157857,0.030922,0.038734
1024,0.500000,0.100000,41594,54591,0.228435,0.000000,157529600.000000,437.643006,2284967.396604,96.818157,5285400.000000,10328641.162447,162815000.000000,452.326712,2210791.389000,0.023766,0.031578
1024,0.500000,0.200000,41594,54591,0.315883,0.000000,157529600.000000,437.643006,2284967.396604,88.095107,4809200.000000,11351368.210929,162338800.000000,451.003751,2217276.461327,0.016617,0.024429
1024,0.500000,0.001000,41594,54591,0.141781,0.000000,157529600.000000,437.643006,2284967.396604,145.555128,7946000.000000,6870249.181978,165475600.000000,459.718294,2175245.172098,0.071297,0.079109
1024,0.600000,0.010000,57808,71363,0.113028,0.000000,157529600.000000,437.643006,2284967.396604,123.231927,8794200.000000,8114780.196038,166323800.000000,462.074733,2164152.093687,0.066055,0.073868
1024,0.600000,0.050000,57808,71363,0.149845,0.000000,157529600.000000,437.643006,2284967.396604,108.421731,7737300.000000,9223243.250229,165266900.000000,459.138491,2177992.084319,0.042969,0.050781
1024,0.600000,0.100000,57808,71363,0.193602,0.000000,157529600.000000,437.643006,2284967.396604,100.225607,7152400.000000,9977490.073262,164682000.000000,457.513544,2185727.644794,0.033028,0.040840
1024,0.600000,0.200000,57808,71363,0.290502,0.000000,157529600.000000,437.643006,2284967.396604,92.217255,6580900.000000,10843957.513410,164110500.000000,455.925823,2193339.243985,0.023087,0.030899
1024,0.600000,0.001000,57808,71363,0.104832,0.000000,157529600.000000,437.643006,2284967.396604,150.037134,10707100.000000,6665016.671181,168236700.000000,467.389082,2139545.057648,0.099083,0.106895
1024,0.700000,0.010000,78979,93025,0.081896,0.000000,157529600.000000,437.643006,2284967.396604,126.443429,11762400.000000,7908675.100320,169292000.000000,470.320878,2126207.972025,0.090248,0.098061
