n_features,threshold,backup_fpr,fn_count,bf_queries,system_fpr,system_fnr,model_total_latency_ns,model_avg_latency_ns,model_throughput_qps,bf_avg_latency_ns,bf_total_latency_ns,bf_throughput_qps,total_system_latency_ns,total_system_avg_latency_ns,total_system_throughput_qps,bf_bits_mb,total_memory_mb
1024,0.500000,0.010000,41594,54591,0.148457,0.000000,170441600.000000,473.514655,2111867.055930,132.977963,7259400.000000,7520042.978759,177701000.000000,493.682456,2025593.553216,0.047531,0.055344
1024,0.500000,0.050000,41594,54591,0.182894,0.000000,170441600.000000,473.514655,2111867.055930,115.209467,6289400.000000,8679842.274303,176731000.000000,490.987637,2036711.159898,0.030922,0.038734
1024,0.500000,0.100000,41594,54591,0.228435,0.000000,170441600.000000,473.514655,2111867.055930,117.900387,6436300.000000,8481736.401349,176877900.000000,491.395749,2035019.637841,0.023766,0.031578
1024,0.500000,0.200000,41594,54591,0.315883,0.000000,170441600.000000,473.514655,2111867.055930,100.800498,5502800.000000,9920585.883550,175944400.000000,488.802334,2045816.746654,0.016617,0.024429
1024,0.500000,0.001000,41594,54591,0.141781,0.000000,170441600.000000,473.514655,2111867.055930,158.854024,8672000.000000,6295087.638376,179113600.000000,497.606890,2009618.476766,0.071297,0.079109
1024,0.600000,0.010000,57808,71363,0.113028,0.000000,170441600.000000,473.514655,2111867.055930,126.728136,9043700.000000,7890907.482557,179485300.000000,498.639533,2005456.714282,0.066055,0.073868
1024,0.600000,0.050000,57808,71363,0.149845,0.000000,170441600.000000,473.514655,2111867.055930,113.295405,8085100.000000,8826483.284066,178526700.000000,495.976386,2016225.024044,0.042969,0.050781
1024,0.600000,0.100000,57808,71363,0.193602,0.000000,170441600.000000,473.514655,2111867.055930,101.213514,7222900.000000,9880103.559512,177664500.000000,493.581053,2026009.698054,0.033028,0.040840
1024,0.600000,0.200000,57808,71363,0.290502,0.000000,170441600.000000,473.514655,2111867.055930,110.525062,7887400.000000,9047721.682684,178329000.000000,495.427143,2018460.261651,0.023087,0.030899
1024,0.600000,0.001000,57808,71363,0.104832,0.000000,170441600.000000,473.514655,2111867.055930,154.888388,11053300.000000,6456261.930826,181494900.000000,504.222531,1983251.320010,0.099083,0.106895
